leave_id	employee_id	leave_type	start_date	end_date	approval_status	approver_id
E051-2025-5-8	E051	Vacation	2025-05-08	2025-07-26	Approved	E010
E089-2025-3-24	E089	Vacation	2025-03-24	2025-07-26	Approved	E005
E088-2025-3-11	E088	Unpaid	2025-03-11	2025-07-26	Approved	E010
E006-2023-10-27	E006	Maternity	2023-10-27	2025-07-26	Pending	E007
E085-2024-4-19	E085	Maternity	2024-04-19	2025-07-26	Approved	E009
E083-2024-7-9	E083	Maternity	2024-07-09	2025-07-26	Approved	E007
E063-2025-7-9	E063	Sick	2025-07-09	2025-07-26	Rejected	E006
E082-2025-2-8	E082	Paternity	2025-02-08	2025-07-26	Pending	E003
E056-2023-9-22	E056	Vacation	2023-09-22	2025-07-26	Pending	E009
E084-2024-10-18	E084	Maternity	2024-10-18	2025-07-26	Pending	E009
E100-2024-1-23	E100	Paternity	2024-01-23	2025-07-26	Rejected	E007
E094-2024-5-2	E094	Unpaid	2024-05-02	2025-07-26	Rejected	E006
E032-2024-7-13	E032	Sick	2024-07-13	2025-07-26	Rejected	E008
E032-2024-11-2	E032	Paternity	2024-11-02	2025-07-26	Pending	E010
E086-2025-4-7	E086	Paternity	2025-04-07	2025-07-26	Rejected	E001
E064-2024-4-13	E064	Maternity	2024-04-13	2025-07-26	Approved	E008
E028-2023-12-7	E028	Maternity	2023-12-07	2025-07-26	Rejected	E006
E036-2023-10-11	E036	Unpaid	2023-10-11	2025-07-26	Pending	E005
E072-2023-10-15	E072	Sick	2023-10-15	2025-07-26	Pending	E004
E011-2024-8-30	E011	Vacation	2024-08-30	2025-07-26	Pending	E007
E063-2024-6-24	E063	Unpaid	2024-06-24	2025-07-26	Approved	E008
E083-2024-12-30	E083	Paternity	2024-12-30	2025-07-26	Rejected	E001
E012-2025-6-23	E012	Maternity	2025-06-23	2025-07-26	Approved	E007
E089-2024-9-12	E089	Vacation	2024-09-12	2025-07-26	Rejected	E010
E048-2024-10-20	E048	Paternity	2024-10-20	2025-07-26	Pending	E009
E045-2025-7-23	E045	Paternity	2025-07-23	2025-07-26	Pending	E009
E043-2024-10-28	E043	Maternity	2024-10-28	2025-07-26	Pending	E008
E035-2024-5-18	E035	Maternity	2024-05-18	2025-07-26	Rejected	E004
E016-2024-2-13	E016	Vacation	2024-02-13	2025-07-26	Rejected	E002
E096-2025-3-5	E096	Unpaid	2025-03-05	2025-07-26	Pending	E003
E025-2023-8-16	E025	Vacation	2023-08-16	2025-07-26	Pending	E008
E036-2023-11-13	E036	Unpaid	2023-11-13	2025-07-26	Pending	E010
E037-2023-9-10	E037	Sick	2023-09-10	2025-07-26	Approved	E005
E030-2023-8-7	E030	Maternity	2023-08-07	2025-07-26	Approved	E005
E002-2023-9-3	E002	Unpaid	2023-09-03	2025-07-26	Approved	E005
E006-2025-1-7	E006	Sick	2025-01-07	2025-07-26	Pending	E005
E090-2023-8-25	E090	Vacation	2023-08-25	2025-07-26	Pending	E008
E014-2024-7-9	E014	Sick	2024-07-09	2025-07-26	Pending	E005
E061-2024-8-12	E061	Paternity	2024-08-12	2025-07-26	Rejected	E006
E024-2025-5-27	E024	Sick	2025-05-27	2025-07-26	Rejected	E008
E015-2024-11-17	E015	Sick	2024-11-17	2025-07-26	Rejected	E008
E010-2025-2-20	E010	Unpaid	2025-02-20	2025-07-26	Pending	E001
E020-2023-12-30	E020	Vacation	2023-12-30	2025-07-26	Pending	E005
E011-2024-1-13	E011	Vacation	2024-01-13	2025-07-26	Approved	E009
E098-2024-10-19	E098	Paternity	2024-10-19	2025-07-26	Pending	E010
E080-2025-6-22	E080	Vacation	2025-06-22	2025-07-26	Pending	E007
E058-2025-2-4	E058	Paternity	2025-02-04	2025-07-26	Rejected	E010
E055-2024-5-22	E055	Maternity	2024-05-22	2025-07-26	Pending	E010
E008-2024-10-7	E008	Unpaid	2024-10-07	2025-07-26	Pending	E002
E098-2023-8-7	E098	Vacation	2023-08-07	2025-07-26	Pending	E004
E034-2024-10-14	E034	Sick	2024-10-14	2025-07-26	Approved	E004
E023-2024-7-1	E023	Unpaid	2024-07-01	2025-07-26	Approved	E003
E001-2023-9-3	E001	Paternity	2023-09-03	2025-07-26	Rejected	E010
E061-2023-8-24	E061	Maternity	2023-08-24	2025-07-26	Approved	E004
E037-2024-9-3	E037	Maternity	2024-09-03	2025-07-26	Pending	E008
E010-2024-11-27	E010	Vacation	2024-11-27	2025-07-26	Rejected	E010
E085-2025-5-9	E085	Vacation	2025-05-09	2025-07-26	Rejected	E002
E070-2024-6-17	E070	Vacation	2024-06-17	2025-07-26	Pending	E003
E035-2025-6-21	E035	Vacation	2025-06-21	2025-07-26	Approved	E001
E022-2025-4-9	E022	Maternity	2025-04-09	2025-07-26	Pending	E010
E037-2024-1-12	E037	Paternity	2024-01-12	2025-07-26	Approved	E008
E089-2024-1-20	E089	Maternity	2024-01-20	2025-07-26	Pending	E007
E035-2024-7-28	E035	Unpaid	2024-07-28	2025-07-26	Pending	E008
E057-2025-2-13	E057	Sick	2025-02-13	2025-07-26	Pending	E001
E056-2024-2-18	E056	Maternity	2024-02-18	2025-07-26	Pending	E005
E004-2025-7-1	E004	Sick	2025-07-01	2025-07-26	Approved	E010
E076-2024-2-9	E076	Sick	2024-02-09	2025-07-26	Pending	E005
E074-2024-6-28	E074	Sick	2024-06-28	2025-07-26	Approved	E008
E067-2025-2-23	E067	Paternity	2025-02-23	2025-07-26	Rejected	E003
E075-2024-9-6	E075	Paternity	2024-09-06	2025-07-26	Pending	E008
E012-2024-4-5	E012	Paternity	2024-04-05	2025-07-26	Rejected	E007
E043-2023-8-26	E043	Maternity	2023-08-26	2025-07-26	Pending	E002
E021-2023-10-15	E021	Maternity	2023-10-15	2025-07-26	Rejected	E008
E037-2024-12-21	E037	Paternity	2024-12-21	2025-07-26	Pending	E001
E059-2024-11-14	E059	Sick	2024-11-14	2025-07-26	Rejected	E005
E042-2024-12-25	E042	Sick	2024-12-25	2025-07-26	Rejected	E009
E001-2025-6-27	E001	Unpaid	2025-06-27	2025-07-26	Rejected	E007
E007-2024-1-18	E007	Vacation	2024-01-18	2025-07-26	Pending	E006
E080-2024-8-27	E080	Paternity	2024-08-27	2025-07-26	Pending	E008
E098-2023-11-15	E098	Sick	2023-11-15	2025-07-26	Approved	E005
E071-2024-9-2	E071	Vacation	2024-09-02	2025-07-26	Rejected	E008
E090-2025-6-25	E090	Paternity	2025-06-25	2025-07-26	Approved	E001
E081-2023-7-29	E081	Unpaid	2023-07-29	2025-07-26	Approved	E003
E040-2023-12-28	E040	Unpaid	2023-12-28	2025-07-26	Approved	E009
E053-2025-3-24	E053	Sick	2025-03-24	2025-07-26	Approved	E002
E060-2023-8-15	E060	Sick	2023-08-15	2025-07-26	Pending	E003
E064-2025-3-29	E064	Maternity	2025-03-29	2025-07-26	Pending	E005
E054-2025-7-25	E054	Paternity	2025-07-25	2025-07-26	Rejected	E004
E059-2025-6-1	E059	Unpaid	2025-06-01	2025-07-26	Approved	E007
E025-2025-1-15	E025	Unpaid	2025-01-15	2025-07-26	Pending	E003
E009-2025-2-15	E009	Maternity	2025-02-15	2025-07-26	Rejected	E006
E065-2024-5-26	E065	Maternity	2024-05-26	2025-07-26	Approved	E005
E093-2024-11-17	E093	Maternity	2024-11-17	2025-07-26	Pending	E010
E085-2024-8-1	E085	Paternity	2024-08-01	2025-07-26	Approved	E008
E069-2024-5-5	E069	Paternity	2024-05-05	2025-07-26	Rejected	E006
E071-2024-11-19	E071	Unpaid	2024-11-19	2025-07-26	Rejected	E008
E042-2024-7-28	E042	Vacation	2024-07-28	2025-07-26	Pending	E004
E074-2025-4-29	E074	Paternity	2025-04-29	2025-07-26	Approved	E007
E006-2024-5-6	E006	Maternity	2024-05-06	2025-07-26	Pending	E008
E091-2024-8-21	E091	Paternity	2024-08-21	2025-07-26	Rejected	E003
